"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"AlexanderRinaldi",3.96,6,4.9,13.4,5,2,0,0,3,60,4,12,84,9,0,11,3,2,62,199594,290043,50619,7537,118134,2029.8,10468,0,3381,0,6449,0,0,0,0,0,0,0,0,0,0,136086,152080,47.8,746,17952,30691,60999,0,145,18831,32817,76964,9.33,106,13836
"SeungW0n",3.62,4.00,3.40,8.30,1,4,0,5,0,50,1, 14, 89, 5, 0, 18,2,3,50, 157665, 211472, 46083, 101.30, 118259,1986.7,2071,0,7493,10303,0,77878,80139,59.20,1007,13668,0,0,0,0,0,12799,34056,45.00,141,13835,66988,97277,1.25,297,18580,0,0,0,0,0
"PurpDevil",2.15,8.10,8.00,9.10,5,2,2,1,0,40,1, 12, 73, 12, 2, 19,4,1,51, 269676, 320530, 70316, 114.63, 140228,2196.4,11162,4626,3903,2273,0,66596,34973,54.00,178,8500,44608,40869,61.50,447,2371,129039,183822,57.80,915,30187,29433,60866,7.00,128,29258,0,0,0,0,0
"envul",2.49,5.60,5.50,8.10,0,8,1,1,0,20,8, 35, 114, 4, 2, 14,0,3,49, 165190, 370970, 80791, 141.55, 120118,2190.9,0,4052,15889,1968,0,8116,22620,13.00,43,2935,29494,47677,61.00,321,12297,0,0,0,0,0,127580,300673,3.13,507,65559,0,0,0,0,0
"Shayapig",2.19,8.70,7.00,6.60,2,7,0,1,0,50,2, 12, 99, 11, 6, 18,1,1,45, 224628, 395057, 75729, 125.12, 132356,2027.1,4498,0,14544,1229,0,8639,8542,57.00,108,1038,0,0,0,0,0,59955,105836,49.50,348,14893,156034,280679,1.57,589,59798,0,0,0,0,0
"Infinitos",3.04,2.40,4.50,11.30,0,0,1,1,8,80,15, 30, 189, 5, 3, 25,4,9,49, 105280, 188067, 23581, 28.65, 100671,1960.2,0,1973,0,1858,15771,14553,9710,70.00,175,1912,20772,15571,44.00,136,798,0,0,0,0,0,0,0,0,0,0,69955,162786,10.50,295,20871
"aidsbot",2.47,7.10,6.80,9.70,1,2,6,1,0,60,9, 17, 205, 13, 6, 16,5,7,49, 214931, 344691, 51677, 65.03, 137989,2157.2,2343,11136,5812,2281,0,19797,32596,18.00,89,7401,126401,126717,56.83,996,11738,31211,53646,57.00,198,9826,37522,131732,2.00,230,22712,0,0,0,0,0
"RPGamerC",2.90,7.40,6.10,10.30,0,0,1,5,4,70,0, 8, 81, 18, 4, 18,0,4,54, 182683, 232473, 32151, 19.08, 130698,2109.2,0,2490,0,11635,6967,109294,117377,61.00,1067,11534,35837,27044,47.00,138,6869,0,0,0,0,0,0,0,0,0,0,37552,88052,10.75,143,13748
"GamingPegasus",2.51,7.00,4.30,3.80,0,3,7,0,0,30,2, 17, 103, 6, 2, 14,5,1,51, 165119, 185469, 29681, 55.40, 102976,1784.9,0,13210,4639,0,0,0,0,0,0,0,132571,124092,43.71,953,13756,0,0,0,0,0,32548,61377,0.67,176,15925,0,0,0,0,0
"SpiritxWolf",2.82,5.70,3.90,5.30,0,1,1,7,1,40,2, 8, 104, 10, 1, 9,1,2,53, 148161, 153812, 35438, 30.30, 106257,1744.5,0,1773,2478,11618,1576,89026,75126,58.14,1230,12772,16860,15626,64.00,106,2855,0,0,0,0,0,37009,47432,1.00,103,18932,5266,15628,7.00,13,879
"A bittersweet li",3.16,8.40,4.50,5.80,1,4,0,5,0,50,19, 15, 154, 20, 8, 23,2,1,49, 190029, 207456, 39578, 116.73, 131425,1943.9,2542,0,6813,10084,0,109058,78741,59.00,1032,10088,0,0,0,0,0,21593,39731,42.00,202,11100,59378,88984,9.00,219,18390,0,0,0,0,0
"Foxx3",2.41,8.70,6.90,7.90,0,5,5,0,0,60,7, 8, 62, 8, 4, 13,1,2,58, 180564, 262346, 57699, 51.73, 125394,1965.3,0,9661,9992,0,0,0,0,0,0,0,120326,100026,54.20,803,7395,0,0,0,0,0,60238,162320,0.40,369,50304,0,0,0,0,0
"YoGirlThrowNeck",2.43,6.90,6.70,9.40,0,2,1,7,0,60,0, 17, 86, 12, 2, 16,4,2,51, 184891, 214695, 38761, 55.75, 114060,1864.3,0,1432,3502,13709,0,132057,140214,46.86,1011,17214,14822,12181,47.00,94,1072,0,0,0,0,0,38012,62300,1.50,128,20475,0,0,0,0,0
"AeroFW",2.40,8.10,7.00,8.70,2,2,1,4,1,40,0, 27, 63, 13, 4, 18,4,4,59, 253842, 284206, 77466, 87.77, 135934,2108.8,3465,2479,4008,9104,2032,155319,118736,52.25,704,30331,27113,27956,60.00,170,1466,27635,47512,60.00,270,2528,40067,70649,1.50,172,27601,3708,19353,3.00,12,15540
"fatblackNdirty",4.38,4.40,3.70,11.80,0,9,1,0,0,50,0, 11, 120, 2, 1, 15,2,3,58, 158435, 235456, 51690, 124.10, 103964,1800.1,0,2055,15946,0,0,0,0,0,0,0,31726,10345,45.00,131,1583,0,0,0,0,0,126709,225111,1.56,628,50107,0,0,0,0,0
"spk956",3.31,3.60,4.20,10.30,0,0,2,0,7,89,0, 25, 209, 9, 4, 18,4,8,46, 115533, 207482, 32374, 34.80, 97935,1956.111111111111,0,3560,0,0,14045,0,0,0,0,0,57518,28011,54.00,271,4279,0,0,0,0,0,0,0,0,0,0,58015,179471,8.86,297,28095
"Amerogata",2.27,1.70,7.70,15.80,0,0,0,0,10,50,6, 21, 250, 1, 1, 13,0,2,59, 85003, 180335, 154738, 57.37, 94836,1873.9,0,0,0,0,18739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85003,180335,3.10,188,154738
"Axeamaniac",1.66,5.40,6.70,5.70,7,0,3,0,0,50,0, 3, 70, 15, 5, 18,4,4,33, 192181, 274607, 59285, 97.50, 117550,1913.2,14122,5010,0,0,0,0,0,0,0,0,51589,59619,45.00,411,12845,140592,214988,38.43,1193,46440,0,0,0,0,0,0,0,0,0,0
"mastameadows",1.72,6.10,9.20,9.70,4,1,1,4,0,60,0, 7, 88, 20, 4, 18,2,7,46, 255495, 283817, 50469, 55.80, 138312,2196.4,9214,1216,1846,9688,0,119919,91609,54.25,927,11835,5227,8981,35.00,64,1588,114640,161821,50.00,889,35792,15709,21406,26.00,0,1254,0,0,0,0,0
"Broberry",2.88,9.60,7.20,11.10,3,7,0,0,0,70,1, 12, 72, 14, 4, 14,3,6,58, 259808, 356036, 73989, 209.77, 147687,2116.2,6456,0,14706,0,0,0,0,0,0,0,0,0,0,0,0,81521,111777,38.67,665,32578,178287,244259,6.43,427,41411,0,0,0,0,0
"SYK93",2.14,6.00,5.60,6.00,7,0,1,2,0,30,6, 47, 90, 14, 1, 15,1,2,39, 177337, 249236, 49350, 42.70, 110916,1923.6,13462,1549,0,4225,0,35347,40436,35.00,318,5662,10451,12524,34.00,87,828,131539,196276,48.00,1091,42860,0,0,0,0,0,0,0,0,0,0
"Squeakel",3.46,3.40,5.90,17.00,0,0,0,0,10,50,21, 43, 188, 5, 3, 15,2,0,64, 140981, 219097, 116858, 77.82, 108007,2015.7,0,0,0,0,20157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140981,219097,4.80,280,116858
"PokemonAF",1.81,4.80,7.80,9.30,4,6,0,0,0,30,3, 12, 106, 3, 0, 15,2,1,42, 195736, 348815, 72854, 73.05, 112176,2041.7,8832,0,11585,0,0,0,0,0,0,0,0,0,0,0,0,93788,144184,44.50,555,33039,101948,204631,3.33,300,39815,0,0,0,0,0
"ArcSpectre",2.49,6.40,5.90,8.30,0,6,4,0,0,40,9, 12, 98, 9, 0, 14,0,5,50, 187029, 234258, 42434, 128.40, 110260,1779.3,0,7748,10045,0,0,0,0,0,0,0,105029,106760,39.25,515,9205,0,0,0,0,0,82000,127498,0.83,338,33229,0,0,0,0,0
"SuddenSusan23",3.00,4.00,2.70,4.10,7,3,0,0,0,40,1, 4, 73, 13, 1, 10,4,3,35, 132288, 291160, 45167, 89.10, 118177,1834.7,12472,0,5875,0,0,0,0,0,0,0,0,0,0,0,0,97350,199816,66.71,1410,6367,34938,91344,3.00,276,38800,0,0,0,0,0
"Legend Warrior2",3.68,6.30,3.80,7.70,5,4,0,0,1,50,15, 15, 192, 16, 0, 18,1,4,52, 214967, 345313, 90378, 107.15, 122462,2035.9,10123,0,9019,0,1217,0,0,0,0,0,0,0,0,0,0,127191,158530,59.60,934,52786,81621,178822,0.75,256,37504,6155,7961,1.00,7,88
"TR 8R",1.89,6.50,7.50,7.70,10,0,0,0,0,40,24, 43, 102, 13, 1, 10,1,2,54, 266891, 411355, 80865, 57.42, 129831,2119.6,21196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266891,411355,54.90,1901,80865,0,0,0,0,0,0,0,0,0,0
"StealthySquirrel",1.15,2.90,6.60,4.70,7,0,3,0,0,50,3, 3, 85, 13, 2, 14,1,0,35, 160668, 248786, 92254, 45.30, 93607,1713.8,12217,4921,0,0,0,0,0,0,0,0,34851,71233,44.67,375,36433,125817,177553,50.29,1100,55821,0,0,0,0,0,0,0,0,0,0
"Mistrtux",2.75,5.50,4.40,6.60,3,1,0,6,0,20,0, 38, 82, 11, 1, 7,2,3,53, 206531, 217381, 43301, 72.40, 123109,2075.9,6471,0,1269,13019,0,144238,93851,66.33,1324,14538,0,0,0,0,0,58856,109975,45.00,557,25982,3437,13555,0.00,47,2781,0,0,0,0,0
"AtomicFartODeath",2.71,4.00,5.20,10.10,4,0,0,0,5,67,9, 22, 162, 7, 1, 20,0,4,45, 150869, 269893, 45034, 51.38, 111206,2131.222222222222,7833,0,0,0,11348,0,0,0,0,0,0,0,0,0,0,50358,99773,55.25,675,9467,0,0,0,0,0,100511,170120,10.40,361,35567
"Thanhefell",2.01,3.10,8.10,13.20,3,0,0,3,4,40,11, 24, 123, 4, 4, 13,2,2,52, 165305, 237901, 85077, 39.67, 113526,2070.8,6338,0,0,6174,8196,55971,62987,37.33,421,22949,0,0,0,0,0,63308,93299,51.67,541,24158,0,0,0,0,0,46026,81615,4.00,91,37970
"FlyingTongue",3.60,3.40,4.80,13.90,1,1,1,0,7,50,10, 40, 175, 5, 2, 12,1,0,55, 111647, 232008, 34134, 36.00, 97989,1892.6,1946,1767,1395,0,13818,0,0,0,0,0,22661,19663,29.00,104,983,16238,31325,55.00,193,5994,10485,17287,1.00,57,5887,62263,163733,7.86,181,21270
"Maidsturnmeon",1.78,8.00,8.30,6.80,0,0,0,10,0,30,0, 8, 107, 20, 4, 13,3,2,51, 283890, 222408, 27927, 29.82, 142520,2227,0,0,0,22270,0,283890,222408,59.60,2171,27927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
